分类,类型,层级,标题,文号,发布单位,发布日期,状态,来源,官方链接,正文
规划与土地,规划与计划,市级,关于印发《上海市国土空间近期实施规划（2026—2030年）》的通知,沪规划资源总〔2026〕262号,上海市规划和自然资源局,2026-08-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::15f956ae58a844ceb7caba8781940458,
规划与土地,办法,市级,上海市生态环境局、上海市规划和自然资源局关于修改 《上海市建设用地土壤污染责任人认定实施办法》的通知,沪环规〔2026〕19号,上海市生态环境局,2026-08-17,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0024::1f0bdcc6a96842dfa6f5c27ce8122154,docs/规划与土地/上海市生态环境局、上海市规划和自然资源局关于修改 《上海市建设用地土壤污染责任人认定实施办法》的通知.md
规划与土地,规划与计划,区级,上海市普陀区人民政府办公室关于印发《普陀区国土空间近期规划（2026-2030年）》的通知,普府办〔2026〕14号,上海市普陀区人民政府,2026-08-20,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0075::0075205517,
规划与土地,规划与计划,市级,关于印发《上海市加强土地管理“十五五”规划》的通知,沪规划资源用〔2026〕233号,上海市规划和自然资源局,2026-07-31,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::9799730c0232457391b56ffe5c6e00a7,
规划与土地,实施意见,市级,关于印发《企业购置不动产转移登记“一件事”工作实施方案》的通知,沪规划资源登〔2026〕229号,上海市规划和自然资源局,2026-07-29,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::ab2bc3e5de9b4e059e8a8561deaa0796,
规划与土地,规划与计划,市级,上海市生态环境局 上海市规划和自然资源局关于更新《上海市建设用地土壤污染风险管控和修复名录》的函,沪环土〔2026〕88号,上海市生态环境局,2026-07-21,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0024::dc8989298b3a429ea97d828038cf92e7,
规划与土地,办法,市级,关于印发《上海市地图审核告知承诺管理办法》的通知,沪规划资源规〔2026〕2号,上海市规划和自然资源局,2026-07-09,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::f8a5cd6c1a7e43df9358a8e9c33af4b8,docs/规划与土地/关于印发《上海市地图审核告知承诺管理办法》的通知.md
规划与土地,规定,市级,市生态环境局、市规划资源局、市房屋管理局关于印发《上海市建设用地土壤污染状况调查、风险评估、风险管控和修复、效果评估等工作的若干规定》的通知,沪环规〔2026〕6号,上海市生态环境局,2026-06-09,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0024::cf0ddfc3781740e4b4b72f79ed70801a,docs/规划与土地/市生态环境局、市规划资源局、市房屋管理局关于印发《上海市建设用地土壤污染状况调查、风险评估、风险管控.md
规划与土地,办法,市级,关于印发《上海市工业用地使用权转让、出租、抵押二级市场管理办法（试行）》的通知,沪规划资源产〔2026〕159号,上海市规划和自然资源局,2026-05-20,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::6fc8d708368146509a45bd3b71e0540e,docs/规划与土地/关于印发《上海市工业用地使用权转让、出租、抵押二级市场管理办法（试行）》的通知.md
规划与土地,通知公告,市级,关于印发《2026年上海量子城市空间智能建设工作要点》的通知,沪规划资源数〔2026〕141号,上海市规划和自然资源局,2026-04-27,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::1b1f8e02101e4791abc70d2c7bdb21f4,
