标题	公布日期	施行日期	时效性	制定机关	bbbs
上海市促进浦东新区运用区块链赋能电子单证应用若干规定	2026-05-27	2026-06-01	有效	上海市人民代表大会常务委员会	ff8081819fad31e2019fc6c37a3663ea
上海市人民代表大会常务委员会关于促进青年发展型城市建设的决定	2026-05-27	2026-06-01	有效	上海市人民代表大会常务委员会	ff8081819fad4019019fc69bad446df3
上海市人民代表大会常务委员会关于修改《上海市促进浦东新区运用区块链赋能电子单证应用若干规定》的决定	2026-05-27	2026-06-01		上海市人民代表大会常务委员会	91b897fd97354830adeca192002d9c80
上海市促进长三角政务服务“一网通办”规定	2026-03-31	2026-05-01	有效	上海市人民代表大会常务委员会	ff8081819e48b44c019ed9feaca952ca
上海市节约能源条例	2026-03-31	2026-04-01	有效	上海市人民代表大会常务委员会	ff8081819e48b3aa019eee5e85d003cf
上海市终身教育促进条例	2026-03-31	2026-04-01	有效	上海市人民代表大会常务委员会	ff8081819e48b44c019eee6144950310
上海市浦东新区推进市场准营承诺即入制改革若干规定	2026-03-31	2026-04-01	有效	上海市人民代表大会常务委员会	ff8081819e48b44c019eee11ef467e14
上海市人民代表大会常务委员会关于修改《上海市浦东新区推进市场准营承诺即入制改革若干规定》等3件地方性法规的决定	2026-03-31	2026-04-01		上海市人民代表大会常务委员会	157b0529a4e8470e8c582288e58c3892
上海市历史文化名镇保护条例	2025-12-30	2026-03-01	有效	上海市人民代表大会常务委员会	ff8081819c46fcc5019cb17302bf5917
上海市促进邮轮经济发展若干规定	2025-12-30	2026-03-01	有效	上海市人民代表大会常务委员会	ff8081819c46fdc3019cb1674ef90919
上海市行业协会商会条例	2025-12-30	2026-02-01	有效	上海市人民代表大会常务委员会	ff8081819c46fdc3019cb175ab070f34
上海市浦东新区自贸离岸债业务发展若干规定	2025-12-30	2026-03-01	有效	上海市人民代表大会常务委员会	ff8081819c46fdc3019cb163d3850811
上海市燃气条例	2025-11-26	2026-02-25	有效	上海市人民代表大会常务委员会	ff8081819c46fdc3019c5169a45d4c94
上海市优化营商环境条例	2025-11-26	2026-01-01	有效	上海市人民代表大会常务委员会	ff8081819c46fcc5019c51574b614bc1
上海市食品安全条例	2025-11-26	2026-01-01	有效	上海市人民代表大会常务委员会	ff8081819c46fdc3019c516dfe294cb5
上海市单用途预付消费卡管理规定	2025-11-26	2026-01-01	有效	上海市人民代表大会常务委员会	ff8081819c46f9bb019c5166bf244e67
上海市特种行业和公共场所治安管理条例	2025-11-26	2026-01-01	有效	上海市人民代表大会常务委员会	ff8081819c46f9bb019c516119054e35
上海市各级人民代表大会常务委员会监督条例	2025-11-26	2025-12-01	有效	上海市人民代表大会常务委员会	ff8081819c46fcc5019c517332c04c82
上海市未成年人保护条例	2025-11-26	2025-11-27	有效	上海市人民代表大会常务委员会	ff8081819c46fcc5019c518eb28e4d7d
上海市出版物发行管理条例	2025-11-26	2025-11-27	有效	上海市人民代表大会常务委员会	ff8081819c46f9bb019c5183a2a94f3b
上海市市民体育健身条例	2025-11-26	2025-11-27	有效	上海市人民代表大会常务委员会	ff8081819c46fcc5019c518251134d01
上海市住房租赁条例	2025-11-26	2025-11-27	有效	上海市人民代表大会常务委员会	ff8081819c46fdc3019c51843f8b4d51
上海市少数民族权益保障条例	2025-11-26	2025-11-27	有效	上海市人民代表大会常务委员会	ff8081819c46fdc3019c51845cb04d59
上海市浦东新区建立高水平知识产权保护制度若干规定	2025-11-26	2025-11-27	有效	上海市人民代表大会常务委员会	ff8081819c46fcc5019c518ba7604d59
上海市人民代表大会常务委员会关于修改《上海市优化营商环境条例》的决定	2025-11-26	2026-01-01		上海市人民代表大会常务委员会	d438381d10f346cdbf6154864dec182c
上海市人民代表大会常务委员会关于修改《上海市食品安全条例》的决定	2025-11-26	2026-01-01		上海市人民代表大会常务委员会	f22be8f1c19b4b7a9261d3867ebbaec3
上海市人民代表大会常务委员会关于修改《上海市浦东新区建立高水平知识产权保护制度若干规定》等2件地方性法规的决定	2025-11-26	2025-11-27		上海市人民代表大会常务委员会	71c51f9b1234406aaa9edab8991d525c
上海市人民代表大会常务委员会关于修改《上海市浦东新区建立高水平知识产权保护制度若干规定》等2件地方性法规的决定	2025-11-26	2025-11-27		上海市人民代表大会常务委员会	fdd9fa1a53f2472ba2368af956a24e9b
上海市人民代表大会常务委员会关于修改《上海市市民体育健身条例》等4件地方性法规和废止《上海市酒类商品产销管理条例》的决定	2025-11-26	2025-11-27		上海市人民代表大会常务委员会	17c971f6d21c45fca648f84b5bd50169
上海市法律援助若干规定	2025-09-25	2025-12-01	有效	上海市人民代表大会常务委员会	ff8081819a7c996b019ac98468492e5a
上海市老年人权益保障条例	2025-09-25	2025-11-01	有效	上海市人民代表大会	ff8081819a7c98d2019ac9b311581750
上海市节约用水条例	2025-09-25	2025-11-01	有效	上海市人民代表大会常务委员会	ff8081819a7c97b2019ac9aebd101bea
上海市民营经济促进条例	2025-09-25	2025-10-20	有效	上海市人民代表大会常务委员会	ff8081819a7c98d2019ac95b531c141e
中国（上海）自由贸易试验区条例	2025-09-25	2025-09-29	有效	上海市人民代表大会常务委员会	ff8081819a7c996b019ac96123b02cad
上海市实施《中华人民共和国全国人民代表大会和地方各级人民代表大会代表法》办法	2025-09-25	2025-09-26	有效	上海市人民代表大会常务委员会	ff8081819a7c98d2019ac9c0c35217b9
上海市人民代表大会关于代表议案的规定	2025-09-25	2025-09-26	有效	上海市人民代表大会常务委员会	ff8081819a7c97b2019ac9c29eb31c82
上海市人民代表大会关于代表建议、批评和意见的规定	2025-09-25	2025-09-26	有效	上海市人民代表大会常务委员会	ff8081819a7c97b2019ac9c3259f1c87
上海市人民代表大会常务委员会关于修改《上海市老年人权益保障条例》的决定	2025-09-25	2025-11-01		上海市人民代表大会常务委员会	09db9029a7ce42f8bbee0392b94e8aa3
上海市人民代表大会常务委员会关于修改《上海市实施〈中华人民共和国全国人民代表大会和地方各级人民代表大会代表法〉办法》等3件地方性法规的决定	2025-09-25	2025-09-26		上海市人民代表大会常务委员会	52bb7be4d4a84989a7150d708d1588be
上海市粮食安全保障条例	2025-07-31	2025-09-01	有效	上海市人民代表大会常务委员会	ff808181999a5e270199e69d5d1e17d6
上海市人民代表大会常务委员会关于促进长三角科技创新协同发展的决定	2025-07-31	2025-09-01	有效	上海市人民代表大会常务委员会	ff8081819998eb470199e6ae80af1fe7
上海市人民代表大会常务委员会关于深入推进生态文明建设 打造美丽中国上海典范的决定	2025-07-31	2025-09-01	有效	上海市人民代表大会常务委员会	ff80818199e72d6e019a29d96e5a7847
上海市发展规划条例	2025-05-28	2025-07-01	有效	上海市人民代表大会常务委员会	ff80818199614e1101997a87f64e48ca
上海市地面沉降防治管理条例	2025-04-29	2025-04-30	有效	上海市人民代表大会常务委员会	ff80818199614c1a01997a7fa29b429f
上海市浦东新区促进张江生物医药产业创新高地建设规定	2025-04-29	2025-04-30	有效	上海市人民代表大会常务委员会	ff8081819951e18701995c47e69d4a3a
上海市人民代表大会常务委员会关于修改《上海市浦东新区促进张江生物医药产业创新高地建设规定》等2件地方性法规的决定	2025-04-29	2025-04-30		上海市人民代表大会常务委员会	80a490fea3c84938ac897098fd62dc3e
上海市浦东新区促进中国（上海）自由贸易试验区自由贸易账户业务发展若干规定	2025-03-27	2025-05-01	有效	上海市人民代表大会常务委员会	ff808181927f0e7b0196aed16ad06ea2
上海市药品和医疗器械管理条例	2024-12-31	2025-03-01	有效	上海市人民代表大会常务委员会	ff80818194a5cf2901954b2c646b587f
