标题	正文页URL
上海市人民代表大会常务委员会关于修改《上海市环境保护条例》等12件地方性法规的决定	https://www.shrd.gov.cn/shrd/gk/content/27acd3c3-49b0-4213-a37a-19351efb8236.html
上海市人民代表大会常务委员会关于修改《上海市浦东新区促进张江生物医药产业创新高地建设规定》等2件地方性法规的决定	https://www.shrd.gov.cn/shrd/gk/content/c0776f87-b654-4383-bb1d-b47928511f04.html
上海市测绘地理信息条例	https://www.shrd.gov.cn/shrd/gk/content/23938cf0-756e-4e9c-81f9-0d9ce21a01aa.html
上海市人民代表大会常务委员会关于修改《上海市浦东新区推进市场准营承诺即入制改革若干规定》等3件地方性法规的决定	https://www.shrd.gov.cn/shrd/gk/content/9203a09c-49f4-4a0a-bdbb-358da0da57f9.html
上海市促进长三角政务服务“一网通办”规定	https://www.shrd.gov.cn/shrd/gk/content/fc3a0a64-bbb9-4cf3-810c-84e646509175.html
上海市浦东新区自贸离岸债业务发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/ceb1a3a3-1387-42dd-bb81-18d372760d3e.html
上海市行业协会商会条例	https://www.shrd.gov.cn/shrd/fggb/content/9fe3e944-0e96-4537-a76e-197361bc2cd0.html
上海市历史文化名镇保护条例	https://www.shrd.gov.cn/shrd/gk/content/5195ae45-620c-41de-8343-bbfe440ab078.html
上海市促进邮轮经济发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/3051f53e-a5f1-451b-89d7-fbe0ea8c408d.html
上海市人民代表大会常务委员会关于修改《上海市市民体育健身条例》等4件地方性法规和废止《上海市酒类商品产销管理条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/2e6c8a7b-5dad-4541-b921-fe21e28a519c.html
《上海市人民代表大会常务委员会关于修改〈上海市浦东新区建立高水平知识产权保护制度若干规定〉等2件地方性法规的决定》	https://www.shrd.gov.cn/shrd/fggb/content/857497d9-2e47-46cb-ac58-01359dd44117.html
上海市各级人民代表大会常务委员会监督条例	https://www.shrd.gov.cn/shrd/fggb/content/91f4b34f-00e1-4dc0-9ed9-22a7eefcefc2.html
上海市人民代表大会常务委员会关于对部分法律性问题的决定和地方性法规解释宣告失效的决定	https://www.shrd.gov.cn/shrd/gk/content/b3fd0486-5c77-48e7-abd2-61493b6acffb.html
上海市人民代表大会常务委员会关于修改《上海市优化营商环境条例》的决定	https://www.shrd.gov.cn/shrd/gk/content/dfd77a03-a7e4-4ab0-8f4d-e01cc218d6ed.html
上海市燃气条例	https://www.shrd.gov.cn/shrd/fggb/content/c8ff6775-6f0b-42af-904e-e5458453fbbe.html
上海市特种行业和公共场所治安管理条例	https://www.shrd.gov.cn/shrd/fggb/content/e3075fe6-69ec-4db4-bfe6-0656eb9b96af.html
上海市法律援助若干规定	https://www.shrd.gov.cn/shrd/fggb/content/f5345104-762b-45ce-9f31-13a7a766a227.html
上海市节约用水条例	https://www.shrd.gov.cn/shrd/fggb/content/3fd51b64-8265-4ce0-81db-622e9c5eb5fd.html
上海市人民代表大会常务委员会关于修改《上海市实施〈中华人民共和国全国人民代表大会和地方各级人民代表大会代表法〉办法》等3件地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/e1730c5a-4ca3-431f-95a3-3e6e80eae74e.html
上海市人民代表大会常务委员会关于修改《上海市老年人权益保障条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/5e22b70d-8c20-4ce1-9a59-5a0b3742a2db.html
上海市民营经济促进条例	https://www.shrd.gov.cn/shrd/fggb/content/d7accc60-8964-4259-892f-546075983ca7.html
中国（上海）自由贸易试验区条例	https://www.shrd.gov.cn/shrd/fggb/content/d87eaf7c-e08a-4327-a18f-ac6c57e03d45.html
上海市粮食安全保障条例	https://www.shrd.gov.cn/shrd/fggb/content/e1641916-3762-40ef-8edd-54381583cfd7.html
上海市人民代表大会常务委员会关于深入推进生态文明建设 打造美丽中国上海典范的决定	https://www.shrd.gov.cn/shrd/fggb/content/1931e7ee-a293-42c7-ab4b-07ef7a521992.html
上海市人民代表大会常务委员会关于促进长三角科技创新协同发展的决定	https://www.shrd.gov.cn/shrd/fggb/content/1659a7fd-509a-4229-bcf4-7cb700823186.html
上海市发展规划条例	https://www.shrd.gov.cn/shrd/fggb/content/f526f008-8a5b-4ed4-8863-2fd1f44e6296.html
《上海市人民代表大会常务委员会关于修改〈上海市浦东新区促进张江生物医药产业创新高地建设规定〉等2件地方性法规的决定》公布	https://www.shrd.gov.cn/shrd/fggb/content/e3cad71e-6d74-46ce-844e-5e0f9f6391e7.html
上海市浦东新区促进中国（上海）自由贸易试验区自由贸易账户业务发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/d0b48e3d-bd32-4003-995a-78a24e4ad008.html
上海市医疗保障条例	https://www.shrd.gov.cn/shrd/fggb/content/ed44eb28-780d-4b53-bc07-17f33872e62b.html
上海市药品和医疗器械管理条例	https://www.shrd.gov.cn/shrd/fggb/content/3986bc78-50d9-4857-b78f-edd4a01ea360.html
上海市人民代表大会常务委员会关于修改〈上海市制定地方性法规条例〉等3件地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/37a4b05c-9d14-4718-b2ca-ac6d9399fd10.html
上海市人民代表大会常务委员会关于修改〈上海市公路管理条例〉等10件地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/1061ef90-4d47-4f28-856c-96752a98caa3.html
上海市促进浦东新区运用区块链赋能电子单证应用若干规定	https://www.shrd.gov.cn/shrd/fggb/content/e0ad52d3-1fd2-4ea1-8099-ff08ab7801d0.html
上海市推进国际航运中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/9b41a699-794f-4c9b-b5d9-b897dfaf1796.html
上海市促进农业科技进步若干规定	https://www.shrd.gov.cn/shrd/fggb/content/3a52fc63-9bf9-496e-ae3d-c41b8b8a4b21.html
